CACode,VaCode,Estimate,ASE,Flag
C02D,V11B,4.7,0.9,
C02D,V11C,5.7,1.2,
C02D,V11D,1.7,0.7,*
C02D,V11E,3.3,1.1,*
C02D,V11M,2.8,0.2,
C02D,V12A,67.5,2.5,
C02D,V13A,79.2,2.1,
C02D,V14A,74,2.2,
C02D,V15A,68.3,2.3,
C02D,V16A,72.6,2.2,
C02D,V16B,16.2,1.7,
C02D,V16C,8.9,1.4,
C02D,V16D,2.2,0.7,*
C02D,V17A,6.7,1.2,
C02D,V17B,21.8,2.2,
C02D,V17C,53,2.6,
C02D,V17D,18.5,2,
C02D,V17M,7.1,0.1,
C02D,V18A,13.2,1.7,
C02D,V18B,22.1,2.1,
C02D,V18C,39.7,2.7,
C02D,V18D,24.9,2.3,
C02D,V18M,6.9,0.1,
C02D,V19A,8.4,1.4,
C02D,V19B,25,2.2,
C02D,V19C,45.1,2.3,
C02D,V19D,21.5,2.2,
C02D,V19M,7,0.1,
C02D,V20A,12.1,1.8,
C02D,V20B,19.9,2.1,
C02D,V20C,41.2,2.5,
C02D,V20D,26.8,2.2,
C02D,V20M,7.1,0.1,
C02D,V21A,37.8,2.8,
C02D,V21B,35.6,2.8,
C02D,V21C,22.4,2.6,
C02D,V21D,4.2,1.2,
C02D,V21M,4.9,0.1,
C02D,V22A,26.9,2.2,
C02D,V22B,34.8,2.3,
C02D,V22C,29.8,2.6,
C02D,V22D,8.5,1.6,
C02D,V22M,5.6,0.1,
C02D,V23A,4.8,1.1,
C02D,V23B,10.1,1.6,
C02D,V23C,32.8,2.4,
C02D,V23D,52.4,2.5,
C02D,V23M,8.2,0.1,
C02D,V24A,88.9,1.5,
C02D,V25A,81.8,2.2,
C02D,V26A,86.7,1.7,
C02D,V27A,46.3,2.2,
C02D,V28A,78.6,1.9,
C02D,V29A,80.1,2,
C02D,V30A,89.9,1.8,
C03A,V00T,16.8,0,B
C03A,V01A,17.5,2.9,
C03A,V01B,23.6,3.4,
C03A,V01C,27.8,3.3,
C03A,V01D,14.1,3.1,
C03A,V01E,17,3.2,
C03A,V01M,7.7,0.1,
C03A,V02A,18.5,3.1,
C03A,V02B,18.3,3.1,
C03A,V02C,28.2,3.6,
C03A,V02D,15.9,2.8,
C03A,V02E,19.1,3.3,
C03A,V02M,7.8,0.1,
C03A,V03A,18.9,2.6,
C03A,V03B,17.8,2.8,
C03A,V03C,32.7,3.4,
C03A,V03D,15.5,2.9,
C03A,V03E,15,2.7,
C03A,V03M,7.7,0.1,
C03A,V04A,15.9,2.7,
C03A,V04B,30.4,4.1,
C03A,V04C,40.7,4.5,
C03A,V04D,12.9,2.4,
C03A,V05A,22.4,3.7,
C03A,V05B,39,4.2,
C03A,V05C,28.1,3.5,
C03A,V05D,10.5,2.4,
C03A,V06A,60.2,3.1,
C03A,V07A,84.7,2.3,
C03A,V08A,54.2,4.2,
C03A,V09A,77.8,3.6,
C03A,V10A,22.4,2.8,
C03A,V11A,81.7,4,
C03A,V11B,7.2,2.6,*
C03A,V11C,5.7,2,*
C03A,V11D,2.4,1.1,*
C03A,V11E,2.9,1.4,*
C03A,V11M,3.3,0.3,
C03A,V12A,50.5,4.2,
C03A,V13A,70.5,3.6,
C03A,V14A,83.5,2.7,
C03A,V15A,89.1,2.6,
C03A,V16A,48.9,3.9,
C03A,V16B,27.1,3.5,
C03A,V16C,18.2,3.2,
C03A,V16D,5.8,1.6,
C03A,V17A,13.5,2.7,
C03A,V17B,27.6,3.6,
C03A,V17C,43,3.5,
C03A,V17D,15.9,3.1,
C03A,V17M,6.6,0.1,
C03A,V18A,9.4,2.1,
C03A,V18B,23.4,3.1,
C03A,V18C,41.1,3.6,
C03A,V18D,26.1,3.3,
C03A,V18M,7.1,0.2,
C03A,V19A,8.5,2,
C03A,V19B,24.8,3.2,
C03A,V19C,45.5,4.4,
C03A,V19D,21.2,3.2,
C03A,V19M,7.1,0.1,
C03A,V20A,8.6,2.1,
C03A,V20B,18.4,2.8,
C03A,V20C,44.1,4.1,
C03A,V20D,28.9,3.9,
C03A,V20M,7.3,0.1,
C03A,V21A,37.3,3.8,
C03A,V21B,35,3.7,
C03A,V21C,22.7,3.7,
C03A,V21D,5,1.8,*
C03A,V21M,5,0.2,
C03A,V22A,19.1,2.5,
C03A,V22B,29.5,3.5,
C03A,V22C,38.2,3.7,
C03A,V22D,13.2,2.6,
C03A,V22M,6.2,0.2,
C03A,V23A,5.7,1.7,*
C03A,V23B,13.7,2.7,
C03A,V23C,37.4,3.7,
C03A,V23D,43.2,3.4,
C03A,V23M,7.9,0.1,
C03A,V24A,88.9,2.2,
C03A,V25A,87,2.4,
C03A,V26A,90.3,2,
C03A,V27A,61,3.8,
C03A,V28A,85.7,2.5,
C03A,V29A,84.7,2.2,
C03A,V30A,82.5,3.1,
C03B,V00T,18.3,0,B
C03B,V01A,18.4,2.8,
C03B,V01B,23.2,2.9,
C03B,V01C,30.2,2.6,
C03B,V01D,13.1,2.1,
C03B,V01E,15.1,2.7,
C03B,V01M,7.7,0.1,
C03B,V02A,15.1,2.5,
C03B,V02B,17.4,2.2,
C03B,V02C,29.5,3.3,
C03B,V02D,18.2,2.5,
C03B,V02E,19.8,2.6,
C03B,V02M,8,0.1,
C03B,V03A,16.8,2.3,
C03B,V03B,22.1,2.8,
C03B,V03C,29,2.9,
C03B,V03D,14.7,2.2,
C03B,V03E,17.4,3,
C03B,V03M,7.8,0.1,
C03B,V04A,9.1,1.9,
C03B,V04B,30.7,3.6,
C03B,V04C,43.1,3.7,
C03B,V04D,17.1,2.8,
C03B,V05A,19.2,2.6,
C03B,V05B,41.4,3.2,
C03B,V05C,28.4,2.8,
C03B,V05D,11.1,2,
C03B,V06A,62.4,3.2,
C03B,V07A,85.8,2.1,
C03B,V08A,55.2,4.1,
C03B,V09A,79.3,2.8,
C03B,V10A,24.2,2.8,
C03B,V11A,76.8,3,
C03B,V11B,7.2,1.6,
C03B,V11C,6.2,1.8,
C03B,V11D,3.6,1.3,*
C03B,V11E,6.2,2.4,*
C03B,V11M,3.7,0.2,
C03B,V12A,58.1,3.9,
C03B,V13A,86,2.4,
C03B,V14A,73.6,3.4,
C03B,V15A,86.1,2.6,
C03B,V16A,57,3,
C03B,V16B,23.5,2.7,
C03B,V16C,15.5,2.4,
C03B,V16D,4,1.2,*
C03B,V17A,10.6,1.9,
C03B,V17B,25,3.2,
C03B,V17C,49.3,3.3,
C03B,V17D,15.1,3.1,
C03B,V17M,6.8,0.1,
C03B,V18A,11.5,2,
C03B,V18B,24.5,3.2,
C03B,V18C,37.9,3.1,
C03B,V18D,26.1,3.5,
C03B,V18M,6.9,0.2,
C03B,V19A,8.1,1.5,
C03B,V19B,22,2.9,
C03B,V19C,46.3,3.5,
C03B,V19D,23.6,3.7,
C03B,V19M,7.2,0.2,
C03B,V20A,11.6,1.9,
C03B,V20B,21.6,2.5,
C03B,V20C,41.9,2.8,
C03B,V20D,24.9,3,
C03B,V20M,7,0.1,
C03B,V21A,40.7,3.8,
C03B,V21B,31.4,2.9,
C03B,V21C,21.6,3.1,
C03B,V21D,6.3,2.2,*
C03B,V21M,4.9,0.2,
C03B,V22A,22.4,3.7,
C03B,V22B,33.6,3.3,
C03B,V22C,32.2,2.9,
C03B,V22D,11.8,3.1,
C03B,V22M,5.9,0.2,
C03B,V23A,6.9,2,
C03B,V23B,13.5,2.4,
C03B,V23C,35.2,2.9,
C03B,V23D,44.3,4,
C03B,V23M,7.8,0.2,
C03B,V24A,85.4,2.2,
C03B,V25A,85.4,2.3,
C03B,V26A,88.1,2.2,
C03B,V27A,61.3,3.2,
C03B,V28A,84.4,2.2,
C03B,V29A,83,2.7,
C03B,V30A,80.6,2.6,
C03C,V00T,15.1,0,B
C03C,V01A,18.9,2.5,
C03C,V01B,19.4,2.7,
C03C,V01C,36.7,3.1,
C03C,V01D,14,2,
C03C,V01E,10.9,2.3,
C03C,V01M,7.6,0.1,
C03C,V02A,11.7,2.1,
C03C,V02B,18.3,2.4,
C03C,V02C,29.3,2.7,
C03C,V02D,19.6,2.7,
C03C,V02E,21.1,2.9,
C03C,V02M,8.1,0.1,
C03C,V03A,16.8,2.6,
C03C,V03B,19.3,2.4,
C03C,V03C,34,3.3,
C03C,V03D,15.7,2,
C03C,V03E,14.2,2.5,
C03C,V03M,7.7,0.1,
C03C,V04A,9.5,2.1,
C03C,V04B,27.6,2.8,
C03C,V04C,43.9,3.2,
C03C,V04D,19,2.5,
C03C,V05A,16.5,2.7,
C03C,V05B,43,2.9,
C03C,V05C,28.7,2.9,
C03C,V05D,11.8,2.5,
C03C,V06A,65.4,2.6,
C03C,V07A,87.8,1.8,
C03C,V08A,55.5,4,
C03C,V09A,74.5,2.5,
C03C,V10A,19.4,2.3,
C03C,V11A,80.9,2.2,
C03C,V11B,6.7,1.7,
C03C,V11C,4.8,1.3,
C03C,V11D,2.1,0.9,*
C03C,V11E,5.4,1.3,
C03C,V11M,3.4,0.2,
C03C,V12A,61.3,3.7,
C03C,V13A,84.3,2.4,
C03C,V14A,69.9,3.1,
C03C,V15A,81.7,2.4,
C03C,V16A,57.3,3.3,
C03C,V16B,25.7,2.5,
C03C,V16C,14.2,2.4,
C03C,V16D,2.7,1,*
C03C,V17A,10.3,1.9,
C03C,V17B,22.7,2.8,
C03C,V17C,53.1,3.3,
C03C,V17D,13.8,2.4,
C03C,V17M,6.8,0.1,
C03C,V18A,12.9,2,
C03C,V18B,24.3,2.7,
C03C,V18C,40.8,3.2,
C03C,V18D,22,2.7,
C03C,V18M,6.8,0.1,
C03C,V19A,9.7,1.8,
C03C,V19B,24.5,3.2,
C03C,V19C,46.1,3.2,
C03C,V19D,19.7,2.7,
C03C,V19M,7,0.1,
C03C,V20A,13.8,2.2,
C03C,V20B,25.6,2.9,
C03C,V20C,41.2,2.9,
C03C,V20D,19.4,2.9,
C03C,V20M,6.7,0.2,
C03C,V21A,38,3.2,
C03C,V21B,36.6,3,
C03C,V21C,19.9,2.9,
C03C,V21D,5.5,1.9,*
C03C,V21M,5,0.2,
C03C,V22A,23.7,2.8,
C03C,V22B,33.1,3.1,
C03C,V22C,33.6,3.3,
C03C,V22D,9.6,2,
C03C,V22M,5.8,0.2,
C03C,V23A,6.4,1.6,
C03C,V23B,12.3,2.1,
C03C,V23C,35.8,3,
C03C,V23D,45.4,3.3,
C03C,V23M,7.9,0.1,
C03C,V24A,87.4,2.5,
C03C,V25A,85.8,2.2,
C03C,V26A,90.2,2,
C03C,V27A,56.9,3.2,
C03C,V28A,86.7,2.2,
